date,Type,title,url,description
"August 18, 2021",Critical Questions,The Infrastructure Investment and Jobs Act Will Do More to Reach 2050 Climate Targets than Those of 2030,https://www.csis.org/analysis/infrastructure-investment-and-jobs-act-will-do-more-reach-2050-climate-targets-those-2030,"In this critical questions, CSIS energy experts dig into the bipartisan infrastructure bill, asking what climate provisions it includes, how important they are likely to be, what’s left for further legislation, and what it says about climate politics in the United States."
"August 18, 2021",Transcript,Picking Up the Pieces in Afghanistan. What Now? ,https://www.csis.org/analysis/picking-pieces-afghanistan-what-now,The fall of Kabul signifies a new power dynamic in Afghanistan and the region. Please join us for a timely discussion with several career experts on Afghanistan.
"August 18, 2021",Commentary,The Next Big Refugee Crisis Just Started,https://www.csis.org/analysis/next-big-refugee-crisis-just-started,The fall of Afghanistan is likely to precipitate the world’s next forced displacement crisis with significant consequences. The United States should lead by example and create a long-term strategy for how the world can provide a future to displaced Afghans.
"August 18, 2021",Commentary,Stories of Afghans Left Behind Will Hurt America around the World,https://www.csis.org/analysis/stories-afghans-left-behind-will-hurt-america-around-world,Jon Alterman discusses how the U.S. pullout from Afghanistan will affect the United States' international standing.
"August 17, 2021",Transcript,"Rethinking Homeland Defense: Global Integration, Domain Awareness, Information Dominance and Decision Superiority",https://www.csis.org/analysis/rethinking-homeland-defense-global-integration-domain-awareness-information-dominance-and,"The CSIS Missile Defense Project is pleased to welcome General Glen D. VanHerck, Commander of NORAD and USNORTHCOM, to discuss his approach to rapidly developing and fielding capabilities for the defense of North America."
"August 17, 2021",Commentary,The Taliban Takeover: Plan Now for the Next Crisis in Afghanistan,https://www.csis.org/analysis/taliban-takeover-plan-now-next-crisis-afghanistan,"The United States must now face the current reality in dealing with the Taliban's rule over Afghanistan, writes CSIS’s Burke Chair in Strategy."
"August 17, 2021",Blog Post,Strengthening India’s Cyber Infrastructure,https://www.csis.org/blogs/new-perspectives-asia/strengthening-indias-cyber-infrastructure,"Globally and throughout India, cyber-attacks have increased creating concerns about the safety of Indian data targets.  As the use of technology spreads, India must ensure awareness of cyber-attacks to minimize any future damage."
"August 17, 2021",Report,The Reasons for the Collapse of Afghan Forces,https://www.csis.org/analysis/reasons-collapse-afghan-forces,"The sudden catalytic collapse of the Afghan government and military forces can be attributed to Afghan and U.S. mistakes made long before the current U.S. withdrawal, writes CSIS’s Burke Chair in Strategy."
"August 17, 2021",Commentary,South America’s Lithium Triangle: Opportunities for the Biden Administration,https://www.csis.org/analysis/south-americas-lithium-triangle-opportunities-biden-administration,"The importance of lithium to the development of clean energy and thus combating climate change means the Biden administration should develop a plan for collaborating with Argentina, Bolivia, and Chile."
"August 16, 2021",Commentary,Breaking Up Is Hard to Do,https://www.csis.org/analysis/breaking-hard-do,"This week, the Scholl Chair discusses Scottish independence. What are the most pressing trade and economic issues to consider?"
"August 16, 2021",Commentary,Satellite Images Capture Afghan Civilians Flocking to Kabul’s International Airport,https://www.csis.org/analysis/satellite-images-capture-afghan-civilians-flocking-kabuls-international-airport,"Commercial satellite imagery captured on August 16, 2021, shows panicked crowds near the entrance, on the tarmac, and along the runway of Kabul’s international airport."
"August 16, 2021",Critical Questions,The Case for Expediting Special Immigrant Visas amid a Transition of Power in Afghanistan,https://www.csis.org/analysis/case-expediting-special-immigrant-visas-amid-transition-power-afghanistan,"The United States has relied heavily on the assistance of Afghans for its military, diplomatic, and development efforts in the region. The United States should ask how it can support its allies in a destabilizing context through expediting the SIV process."
