date,url,title
"February 18, 2022",https://www.fcc.gov/document/fcc-proposes-45-million-fine-against-robocalling-telemarketer,FCC Proposes $45 Million Fine Against Robocalling Telemarketer
"February 18, 2022",https://www.fcc.gov/document/fcc-requires-aureon-submit-data-refunds-illegal-rate-charges,FCC Requires Aureon to Submit Data for Refunds of Illegal Rate Charges
"February 18, 2022",https://www.fcc.gov/document/fcc-seeks-comment-further-reforms-rural-health-care-program,FCC Seeks Comment on Further Reforms to Rural Health Care Program
"February 17, 2022",https://www.fcc.gov/document/sp-global-interviews-simington,S&P Global Interviews Simington
"February 17, 2022",https://www.fcc.gov/document/chairwoman-announces-new-state-federal-robocall-partnerships,Chairwoman Announces New State-Federal Robocall Partnerships
"February 17, 2022",https://www.fcc.gov/document/starks-adds-landrieu-speaker-connecting-black-communities-event,Starks Adds Landrieu as Speaker for Connecting Black Communities Event
"February 17, 2022",https://www.fcc.gov/document/deletion-notice-item-february-18-2022-open-meeting,"Deletion Notice of Item for February 18, 2022 Open Meeting"
"February 17, 2022",https://www.fcc.gov/document/fcc-finds-two-providers-failed-fully-implement-stirshaken-0,FCC Finds Two Providers Failed to Fully Implement STIR/SHAKEN
"February 17, 2022",https://www.fcc.gov/document/starks-remarks-next-g-alliance-roadmap-6g,Starks Remarks to Next G Alliance: The Roadmap to 6G
"February 17, 2022",https://www.fcc.gov/document/fcc-adopts-updated-radio-technical-rules,FCC Adopts Updated Radio Technical Rules
"February 17, 2022",https://www.fcc.gov/document/fcc-orders-more-robocall-enabling-providers-cease-and-desist,FCC Orders More Robocall-Enabling Providers to Cease-and-Desist
"February 16, 2022",https://www.fcc.gov/document/fcc-releases-agenda-february-23-meeting-diversity-council,FCC Releases Agenda for February 23 Meeting of Diversity Council
