date,Type,title,url,description
"March 21, 2022",Critical Questions,Drought Hits the Horn of Africa ,https://www.csis.org/analysis/drought-hits-horn-africa,"Against a backdrop of ongoing violence and political instability in the region, the worst drought in decades has hit the Horn of Africa. With millions of lives and livelihoods at stake, a lack of resources looms large and gives rise to fears of mass irregular migration."
"March 21, 2022",Blog Post,Notes from a CSIS Virtual Event: Cybersecurity Considerations for Data Localization Regulation,https://www.csis.org/blogs/strategic-technologies-blog/notes-csis-virtual-event-cybersecurity-considerations-data,"On March 9, CSIS hosted an event on the necessary cybersecurity considerations for data localization efforts, featuring Peter Swire, DeBrae Kennedy-Mayo, Victoria Baines,  Andreas Mitrakas, and Raphael Marichez ."
"March 18, 2022",Commentary,The Energy Weapon—Revisited,https://www.csis.org/analysis/energy-weapon%E2%80%94revisited,"The term “energy weapon” is easily misused and often abused. A few weeks into the conflict in Ukraine, what can we say about the energy weapon?"
"March 18, 2022",Commentary,One Year of Tanzanian President Hassan: What’s Changed?,https://www.csis.org/analysis/one-year-tanzanian-president-hassan-whats-changed,It’s been one year since Samia Suluhu Hassan assumed the Tanzanian presidency following the unexpected death of autocrat John Magufuli. Marielle Harris outlines Hassan’s progress in five distinct policy areas.
"March 17, 2022",Blog Post,"The Latest on Southeast Asia: March 17, 2022",https://www.csis.org/blogs/latest-southeast-asia/latest-southeast-asia-march-17-2022,"After two years of lockdown and numerous Covid-19 variants, Southeast Asian governments are beginning to shift their policies from treating Covid-19 as pandemic to endemic."
"March 17, 2022",Transcript,Agriculture and Food Security: Casualties of the War in Ukraine,https://www.csis.org/analysis/agriculture-and-food-security-casualties-war-ukraine,The CSIS Global Food Security Program hosted Ukraine's deputy minister of agriculture for a discussion on the impacts of war on global food security.
"March 17, 2022",Congressional Testimony,China’s Climate Change Strategy and U.S.- China Competition,https://www.csis.org/analysis/chinas-climate-change-strategy-and-us-china-competition,"Nikos Tsafos, James R. Schlesinger Chair for Energy and Geopolitics, testified before the U.S.-China Economic and Security Review Commission on the topic of ""China’s Climate Change Strategy and U.S.-China Competition.”"
"March 17, 2022",Commentary,Haiti’s Fractured Political Dynamics,https://www.csis.org/analysis/haitis-fractured-political-dynamics,Georges Fauriol analyzes Haiti's political landscape and what the current challenges mean for the country's prospects of democratic consolidation.
"March 16, 2022",Newsletter,"The Evening: Biden Details Aid, Fed Raises Rates, One More Saturday Night, and More",https://www.csis.org/analysis/evening-biden-details-aid-fed-raises-rates-one-more-saturday-night-and-more,"This edition of CSIS's nightly newsletter covers the Biden Details Aid, Fed Raises Rates, One More Saturday Night, and More."
"March 16, 2022",Transcript,NATO on the Line: The Views of Four Former SACEURs,https://www.csis.org/analysis/nato-line-views-four-former-saceurs,Four former supreme allied commanders of Europe join Dr. Seth G. Jones to discuss the implications of the Russian invasion of Ukraine.
"March 16, 2022",Commentary,Preparing for the Next Phase of the Russian War,https://www.csis.org/analysis/preparing-next-phase-russian-war,The United States and its partners should prepare for the next phase of the Russian war in Ukraine and ultimately reduce Russia's advantages in future competition.
"March 16, 2022",Commentary,Russia Launches ‘Musical’ Space Salvo,https://www.csis.org/analysis/russia-launches-musical-space-salvo,Russia's space agency recently produced a satirical music video showing the Russian segment of the International Space Station decoupling itself from the station. So just how worried should NASA be?
