date,label,title,url
"Friday, December 17, 2021",Report,"Inequitable fines and fees hurt vulnerable communities. Now, policymakers have an opportunity for reform.",https://www.brookings.edu/research/inequitable-fines-and-fees-hurt-vulnerable-communities-now-policymakers-have-an-opportunity-for-reform/
"Wednesday, December 15, 2021",Testimony,Constraint and opportunity in the US Department of Housing and Urban Development’s Community Development Block Grant – Disaster Recovery Program,https://www.brookings.edu/testimonies/constraint-and-opportunity-in-the-us-department-of-housing-and-urban-developments-community-development-block-grant-disaster-recovery-program/
"Wednesday, December 15, 2021",Past Event,How should the Biden administration approach Africa?,
"Thursday, December 16, 2021",Report,Scaling education innovations for impact in low- and middle-income countries during COVID,https://www.brookings.edu/research/scaling-education-innovations-for-impact-in-low-and-middle-income-countries-during-covid/
"Thursday, December 16, 2021",,"
					Nonresident Senior Fellow - ",https://www.brookings.edu/program/global-economy-and-development/
"Monday, December 20, 2021",Future Development,Can COVID-19’s supply chain disruptions help Western Balkan competitiveness?,https://www.brookings.edu/blog/future-development/2021/12/20/can-covid-19s-supply-chain-disruptions-help-western-balkan-competitiveness/
"Monday, December 20, 2021",TechTank,Why New York City is cracking down on AI in hiring,https://www.brookings.edu/blog/techtank/2021/12/20/why-new-york-city-is-cracking-down-on-ai-in-hiring/
"Thursday, December 16, 2021",How We Rise,What might we expect from Native American voters in the upcoming 2022 election?,https://www.brookings.edu/blog/how-we-rise/2021/12/16/what-we-might-expect-from-native-american-voters-in-the-upcoming-2022-election/
"Friday, December 17, 2021",TechStream,The crucial need to secure the location data of vulnerable populations,https://www.brookings.edu/techstream/the-crucial-need-to-secure-the-location-data-of-vulnerable-populations/
"Friday, December 17, 2021",Future Development,Does government debt increase after global recessions?,https://www.brookings.edu/blog/future-development/2021/12/17/does-government-debt-increase-after-global-recessions/
"Friday, December 17, 2021",Future Development,Debt tsunami of the pandemic,https://www.brookings.edu/blog/future-development/2021/12/17/debt-tsunami-of-the-pandemic/
