date,label,title,url
"Saturday, November 6, 2021",Africa in Focus,"Africa in the news: AGOA removals, vaccine update, and COP26-related news",https://www.brookings.edu/blog/africa-in-focus/2021/11/06/africa-in-the-news-agoa-removals-vaccine-update-and-cop26-related-news/
"Monday, November 8, 2021",Post,"Despite a strong October jobs report, Black unemployment remains too high to justify the Fed’s recent decision to decrease bond purchases",https://www.brookings.edu/2021/11/08/despite-a-strong-october-jobs-report-black-unemployment-remains-too-high-to-justify-the-feds-recent-decision-to-decrease-bond-purchases/
"Tuesday, November 9, 2021",The Avenue,Big cities aren’t dividing America. They hold the key to our collective future,https://www.brookings.edu/blog/the-avenue/2021/11/09/big-cities-arent-dividing-america-they-hold-the-key-to-our-collective-future/
"Tuesday, November 9, 2021",Past Event,What is a strategy of denial and does it make sense for America?,
"Monday, November 8, 2021",Future Development,Government assistance when household energy bills are high: Lessons from Ukraine,https://www.brookings.edu/blog/future-development/2021/11/08/government-assistance-when-household-energy-bills-are-high-lessons-from-ukraine/
"Monday, November 8, 2021",Education Plus Development,Adapting education innovations and their ‘knock-on effects’ in the time of COVID,https://www.brookings.edu/blog/education-plus-development/2021/11/08/adapting-education-innovations-and-their-knock-on-effects-in-the-time-of-covid/
"Monday, November 8, 2021",Testimony,Race and Jobs at Risk of Being Automated in the Age of COVID-19,https://www.brookings.edu/testimonies/race-and-jobs-at-risk-of-being-automated-in-the-age-of-covid-19/
"Monday, November 8, 2021",Testimony,How Fintech Companies Can Mitigate the Racial Wealth Gap,https://www.brookings.edu/testimonies/how-fintech-companies-can-mitigate-the-racial-wealth-gap/
"Tuesday, November 9, 2021",Technology & Innovation,Digital infrastructure is more than just broadband: What the US can learn from Europe’s open source technology policy study,https://www.brookings.edu/research/digital-infrastructure-is-more-than-just-broadband-what-the-u-s-can-learn-from-europes-open-source-technology-policy-study/
"Monday, November 8, 2021",Federal Fiscal Policy,The economic and fiscal road ahead,https://www.pgpf.org/americas-fiscal-and-economic-outlook/the-economic-and-fiscal-road-ahead
