date,label,title,url
"Monday, November 1, 2021",Brown Center Chalkboard,It’s time to start voting in your local school board elections,https://www.brookings.edu/blog/brown-center-chalkboard/2021/11/01/its-time-to-start-voting-in-your-local-school-board-elections/
"Monday, November 1, 2021",,"
					Nonresident Fellow - ",https://www.brookings.edu/program/economic-studies/
"Tuesday, November 2, 2021",Financial Regulation,"Focus on bank supervision, not just bank regulation",https://www.brookings.edu/research/we-must-focus-on-bank-supervision/
"Tuesday, November 2, 2021",TechStream,Why China is cracking down on its online fandom obsessed youth,https://www.brookings.edu/techstream/why-china-is-cracking-down-on-its-online-fandom-obsessed-youth/
"Tuesday, November 2, 2021",Interactive,Hutchins Center Fiscal Impact Measure,https://www.brookings.edu/interactives/hutchins-center-fiscal-impact-measure/
"Wednesday, November 3, 2021",Children & Families,The relationship between school closures and female labor force participation during the pandemic,https://www.brookings.edu/research/the-relationship-between-school-closures-and-female-labor-force-participation-during-the-pandemic/
"Saturday, October 30, 2021",Africa in Focus,"Africa in the news: Africa at COP26, military takeover in Sudan, and debut of Nigeria’s eNaira",https://www.brookings.edu/blog/africa-in-focus/2021/10/30/africa-in-the-news-africa-at-cop26-military-takeover-in-sudan-and-debut-of-nigerias-enaira/
"Monday, November 1, 2021",TechTank,TechTank Podcast Episode 31: What lies ahead for the U.S.-China tech race?,https://www.brookings.edu/blog/techtank/2021/11/01/techtank-podcast-episode-31-what-lies-ahead-for-the-u-s-china-tech-race/
"Monday, November 1, 2021",,"
					Senior Fellow - ",https://www.brookings.edu/program/economic-studies/
"Monday, November 1, 2021",USC-Brookings Schaeffer on Health Policy,Making workplaces better for people struggling with mental health will make work better for everyone,https://www.brookings.edu/blog/usc-brookings-schaeffer-on-health-policy/2021/11/01/making-workplaces-better-for-people-struggling-with-mental-health-will-make-work-better-for-everyone/
