date,label,title,url
"Tuesday, March 29, 2022",FixGov,Independence and impact in contemporary America,https://www.brookings.edu/blog/fixgov/2022/03/29/independence-and-impact-in-contemporary-america/
"Tuesday, March 29, 2022",,"
					Senior Fellow - ",https://www.brookings.edu/program/economic-studies/
"Monday, March 28, 2022",U.S. Economy,Debunking the mainstream liberal media’s bias against free markets,https://www.realclearmarkets.com/articles/2022/03/28/debunking_the_mainstream_liberal_medias_bias_against_free_markets_823792.html
"Tuesday, March 29, 2022",Order from Chaos,The Russia-Ukraine war may be bad news for nuclear nonproliferation,https://www.brookings.edu/blog/order-from-chaos/2022/03/29/the-russia-ukraine-war-may-be-bad-news-for-nuclear-nonproliferation/
"Thursday, March 24, 2022",Order from Chaos,Yemen war turns seven,https://www.brookings.edu/blog/order-from-chaos/2022/03/24/yemen-war-turns-seven/
"Wednesday, March 30, 2022",Podcast Episode,Connecting Africa’s tech talent with the world,https://www.brookings.edu/podcast-episode/connecting-africas-tech-talent-with-the-world/
"Wednesday, March 30, 2022",,"
					Nonresident Senior Fellow - ",https://www.brookings.edu/program/global-economy-and-development/
"Wednesday, March 30, 2022",Past Event,BPEA Spring 2022 conference,
"Monday, March 28, 2022",TechTank,Why digital human capital is important in community building,https://www.brookings.edu/blog/techtank/2022/03/28/why-digital-human-capital-is-important-in-community-building/
"Monday, March 28, 2022",The Federal Budget,Fiscal policy and budget deficits following the pandemic,https://www.brookings.edu/bpea-articles/fiscal-policy-and-budget-deficits-following-the-pandemic/
"Monday, March 28, 2022",How We Rise,Why census undercounts are problematic for political representation,https://www.brookings.edu/blog/how-we-rise/2022/03/28/why-census-undercounts-are-problematic-for-political-representation/
