date,label,title,url
"Monday, March 7, 2022",Africa in Focus,Women and e-commerce in Africa: The $15 billion opportunity,https://www.brookings.edu/blog/africa-in-focus/2022/03/07/women-and-e-commerce-in-africa-the-15-billion-opportunity/
"Monday, March 7, 2022",Upcoming Event,The new geopolitics of state fragility,
"Tuesday, March 8, 2022",Africa in Focus,Philanthropy plays a vital role in meeting development challenges and mitigating crises in sub-Saharan Africa,https://www.brookings.edu/blog/africa-in-focus/2022/03/08/philanthropy-plays-a-vital-role-in-meeting-development-challenges-and-mitigating-crises-in-sub-saharan-africa/
"Tuesday, March 8, 2022",Upcoming Event,Tracking the recovery from the COVID-19 recession,
"Tuesday, March 8, 2022",Upcoming Event,China’s role in poaching and wildlife trafficking in Mexico,
"Monday, March 7, 2022",Up Front,The impact of Treasury’s pilot program on stemming the tide of dirty money into US real estate ,https://www.brookings.edu/blog/up-front/2022/03/07/the-impact-of-treasurys-pilot-program-on-stemming-the-tide-of-dirty-money-into-us-real-estate/
"Monday, March 7, 2022",Report,The impact of beneficial ownership transparency on illicit purchases of US property,https://www.brookings.edu/research/the-impact-of-beneficial-ownership-transparency-on-illicit-purchases-of-us-property/
"Monday, March 7, 2022",,"
					Nonresident Senior Fellow - ",https://www.brookings.edu/program/foreign-policy/
"Monday, March 7, 2022",TechStream,Shifting crypto landscape threatens crime investigations and sanctions,https://www.brookings.edu/techstream/shifting-crypto-landscape-threatens-crime-investigations-and-sanctions/
"Tuesday, March 8, 2022",Order from Chaos,There are many things worse than American power,https://www.brookings.edu/blog/order-from-chaos/2022/03/08/there-are-many-things-worse-than-american-power/
