date,category,title,Tag1,Tag2,url,description
"Oct 5, 2021",Research and Reports,China Pathfinder: Annual Scorecard,China,Economy & Business,https://www.atlanticcouncil.org/in-depth-research-reports/report/china-pathfinder-2021/,"Over the past eight months, teams from the Atlantic Council and Rhodium Group have taken a dive into China’s economy to address a fundamental question: Is China becoming more or less like other open-market economies?"
"Oct 4, 2021",Research and Reports,Introduction: Cooperation on maritime cybersecurity,Cybersecurity,Defense Technologies,https://www.atlanticcouncil.org/in-depth-research-reports/report/cooperation-on-maritime-cybersecurity-introduction/,"It is imperative to establish at the outset that there is no silver bullet for maritime cybersecurity. This report is intended to deliver a more complete and operational plan to better protect the MTS by focusing on building upon, broadening, and deepening the priorities put forward by the National Maritime Cyber Plan by focusing on three key principles: risks and standards, information and intelligence sharing, and creating a maritime cybersecurity workforce."
"Oct 4, 2021",Research and Reports,A system of systems: Cooperation on maritime cybersecurity,Cybersecurity,Maritime Security,https://www.atlanticcouncil.org/in-depth-research-reports/report/cooperation-on-maritime-cybersecurity-a-system-of-systems/,"The MTS is not monolithic; it is a markedly complex “system of systems.” This section segments the MTS into three discrete systems—ships, ports, and cargo—each with its own life cycle, in order to highlight areas of risk and leverage for policy makers and the industry."
"Oct 4, 2021",Research and Reports,Recommendations: Cooperation on maritime cybersecurity,Cybersecurity,Maritime Security,https://www.atlanticcouncil.org/in-depth-research-reports/report/cooperation-on-maritime-cybersecurity-recommendations/,This report puts forward twelve recommendations—split into three overarching themes—to help better secure all subsystems of the MTS from evolving cyber threats.
"Oct 4, 2021",Research and Reports,Appendices: Cooperation on maritime cybersecurity,Cybersecurity,Maritime Security,https://www.atlanticcouncil.org/in-depth-research-reports/report/cooperation-on-maritime-cybersecurity-appendices/,The appendices for key players and an acronym list referred to in ‘Raising the colors: Signaling for cooperation on maritime cybersecurity.’
"Oct 4, 2021",Research and Reports,Raising the colors: Signaling for cooperation on maritime cybersecurity,Cybersecurity,Maritime Security,https://www.atlanticcouncil.org/in-depth-research-reports/report/raising-the-colors-signaling-for-cooperation-on-maritime-cybersecurity/,"Few industries are as critical to the global economy as the maritime transportation system (MTS). However, the efficient operation of the MTS is at risk, as the industry is increasingly vulnerable to cyber threats. The MTS must work to raise its baseline for cybersecurity and better protect its actors from systemic cyber threats going forward."
"Sep 23, 2021",Research and Reports,The special role of US nuclear weapons,China,Defense Policy,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/the-special-role-of-us-nuclear-weapons/,"The United States needs to maintain a robust, flexible, and modernized nuclear deterrent. That means that United States needs to continue with nuclear modernization, reject a no first use (NFU) policy, and examine further nuclear capabilities."
"Oct 6, 2021",Commentary and Analysis,Pakistan’s domestic politics following the Taliban takeover in Afghanistan,Afghanistan,Extremism,https://www.atlanticcouncil.org/blogs/southasiasource/pakistans-domestic-politics-following-the-taliban-takeover-in-afghanistan/,"Though discussions abound about how South and Central Asia might align to prevent a humanitarian catastrophe in Afghanistan, the ramifications of the Taliban takeover will also play out in the domestic affairs of Kabul’s neighbors. Looking at the evolving relationship between Afghanistan and Pakistan, questions remain as to how Pakistani politics and society will change amid the cessation of conflict but new Taliban regime next door."
"Sep 29, 2021",Commentary and Analysis,The inaugural Trade and Technology Council Meeting — groundhog day or great leap forward?,China,Economy & Business,https://www.atlanticcouncil.org/insight-impact/in-the-news/chhibber-wrote-an-opinion-piece-for-the-economic-times-view-if-india-has-to-take-on-china-it-must-understand-china-and-its-future-intentions/,"Following the commencement of the Biden presidency, there were high hopes of a resurgence of transatlantic ties. This week’s inaugural meeting of the TTC highlights that policymakers on both sides will have difficulty meeting that expectation."
"Sep 29, 2021",Commentary and Analysis,The 5×5—The future of cyber diplomacy,Civil Society,Conflict,https://www.atlanticcouncil.org/commentary/blog-post/the-inaugural-trade-and-technology-council-meeting-groundhog-day-or-great-leap-forward/,We brought together experts with a range of perspectives to discuss cyber diplomacy and what the future of responsible cyber statecraft looks like.
"Sep 28, 2021",Commentary and Analysis,Transforming logistics,Economy & Business,Middle East,https://www.atlanticcouncil.org/content-series/the-5x5/the-5x5-the-future-of-cyber-diplomacy/,"In Season 2, Episode 1 of empowerME Conversations podcast, host and Atlantic Council empowerME Director Amjad Ahmad speaks with UPS President for Indian Subcontinent, Middle East, and Africa Jean-Francois Condamine about the e-commerce boom in the Middle East, promoting sustainability in the logistics industry, and empowering small and medium enterprises to become regional and global exporters."
"Sep 27, 2021",Commentary and Analysis,Inclusive growth needs financial inclusion. Can Central Bank Digital Currency help?,Digital Currencies,Economy & Business,https://www.atlanticcouncil.org/content-series/empowerme-conversations/transforming-logistics/,"1.7 billion adults remained unbanked as per the 2017 wave of Findex dataset, with large disparities in financial inclusion still existing across countries, gender, income, education, and rural-urban lines. CBDCs have the potential to enhance financial inclusion and reduce these disparities."
"Sep 24, 2021",Commentary and Analysis,Evergrande’s debt distress: Withdrawal symptoms of China’s debt-fueled growth model,China,Economy & Business,https://www.atlanticcouncil.org/blogs/inclusive-growth-needs-financial-inclusion-can-central-bank-digital-currency-help/,"On September 24th China’s giant property developer Evergrande Group entered a 30-day grace period before being declared in default. Although they may not default, this slowdown highlights the key contradiction in China’s policy goals."
