date,Type,title,url,description
"December 14, 2021",Commentary,The Great Awokening,https://www.csis.org/analysis/great-awokening,"This week, the Scholl Chair comments on the issues at the forefront of the Biden administration's agenda, including gender, forced labor, and climate. Are socially woke provisions trade enhancing or trade limiting?"
"December 13, 2021",Newsletter,Love At the Ballot Box,https://www.csis.org/analysis/love-ballot-box,"As Libya's civil war recedes and elections loom, love is the new battleground for citizens' hearts and minds."
"December 13, 2021",Newsletter,Advisory Board Members,https://www.csis.org/analysis/advisory-board-members,Advisory board for the Powering Reconstruction in the Arab World project.
"December 13, 2021",Commentary,Doing Less Is Not Enough,https://www.csis.org/analysis/doing-less-not-enough,Dr. Jon Alterman discusses the Biden administration’s return to the basics in the Middle East and the need for an organizing principle.
"December 13, 2021",Commentary,Be Like Boris: How to Craft a Climate Strategy,https://www.csis.org/analysis/be-boris-how-craft-climate-strategy,"If the United States wants to craft a coherent climate strategy, it should look to the United Kingdom for inspiration."
"December 13, 2021",Report,Analysis of the FY 2022 Defense Budget,https://www.csis.org/analysis/analysis-fy-2022-defense-budget,"This report assesses the Biden administration’s FY 2022 defense budget request. It outlines the priorities and potential effects of ongoing strategic reviews, tracks current congressional action on FY 2022 defense appropriations, and identifies key issues for FY 2023."
"December 10, 2021",Transcript,Advocates for Democracy in Closed Spaces,https://www.csis.org/analysis/advocates-democracy-closed-spaces,Please join CSIS for an official summit event of the 2021 Summit for Democracy.
"December 10, 2021",Critical Questions,The Deep Roots of the Solomon Islands’ Ongoing Political Crisis,https://www.csis.org/analysis/deep-roots-solomon-islands-ongoing-political-crisis,Deadly riots broke out in the Solomon Islands capital of Honiara on November 24. CSIS’s Patricia O’Brien discusses the roots of this political crisis.
"December 10, 2021",Report,Seeking Alignment: Missile Defense and Defeat in the 2022 Budget,https://www.csis.org/analysis/seeking-alignment-missile-defense-and-defeat-2022-budget,"The Pentagon’s 2022 budget request seeks, but does not yet achieve, the necessary alignment of missile defense and defeat investments to support long-term strategic competition."
"December 10, 2021",Commentary,DFC Deal to Boost U.S. Solar Industry and Strengthen Clean Energy Supply Chains,https://www.csis.org/analysis/dfc-deal-boost-us-solar-industry-and-strengthen-clean-energy-supply-chains,A recent deal for building a solar manufacturing facility in India shows what is possible in terms of competing with China and building resilient supply chains for clean energy.
"December 9, 2021",Newsletter,"The Evening: Teen Booster Authorized, Ukraine Call, Stairway to Heaven, and More",https://www.csis.org/analysis/evening-teen-booster-authorized-ukraine-call-stairway-heaven-and-more,"This edition of CSIS's nightly newsletter covers Teen Booster Authorized, Ukraine Call, Stairway to Heaven, and More."
"December 9, 2021",Blog Post,"Spotlight - Cambodia: December 9, 2021",https://www.csis.org/blogs/latest-southeast-asia/spotlight-cambodia-december-9-2021,"On December 2, Cambodian Prime Minister Hun Sen endorsed his 44-year-old son Hun Manet—a deputy commander of the Royal Cambodian Armed Forces and joint chief of staff—to succeed him."
