date,Type,title,url,description
"December 1, 2021",Blog Post,India must address the gambling regulation vacuum head-on,https://www.csis.org/blogs/new-perspectives-asia/india-must-address-gambling-regulation-vacuum-head,The Indian central and state governments must work together to liberalize the gambling sector.
"November 30, 2021",Newsletter,"The Evening: Omicron Updates, Fed on Inflation, Casino Queen, and More",https://www.csis.org/analysis/evening-omicron-updates-fed-inflation-casino-queen-and-more,"This edition of CSIS's nightly newsletter covers the Omicron Updates, Fed on Inflation, Casino Queen, and More."
"November 30, 2021",Commentary,Africa Reacts to Secretary Blinken’s Africa Tour,https://www.csis.org/analysis/africa-reacts-secretary-blinkens-africa-tour,"In the 11th edition of the Africa Reacts series, African analysts respond to Secretary of State Antony Blinken’s recent trip to Nigeria, Senegal, and Kenya."
"November 30, 2021",Newsletter,"Global Economics Monthly, November 2021",https://www.csis.org/analysis/global-economics-monthly-november-2021-1,"We are pleased to share the November 2021 issue of the Global Economics Monthly (GEM), the newsletter of the CSIS Economics Program. This month’s GEM features our latest commentaries, recent and upcoming events, and other updates from the team."
"November 30, 2021",Transcript,The Future of the Organization of American States,https://www.csis.org/analysis/future-organization-american-states,"Please join Ryan C. Berg, Senior Fellow of the CSIS Americas Program for an armchair discussion with the Secretary General of the Organization of American States, H.E. Luis Almagro."
"November 30, 2021",Report,U.S. Military Forces in FY 2022: Air Force,https://www.csis.org/analysis/us-military-forces-fy-2022-air-force,"The Air Force continues developing and procuring next-generation aircraft to meet the demands of great power conflict. Fielding new aircraft has slowed the increase in fleet age, but the Air Force is not buying enough new aircraft to sustain current force levels."
"November 30, 2021",Commentary,"U.S.-Japan Economic Dialogue: Two Steps Forward, More Needed",https://www.csis.org/analysis/us-japan-economic-dialogue-two-steps-forward-more-needed,"While new Commerce and USTR economic dialogues are important first steps, a broader coordinating mechanism with Japan on economic security led by the White House is still needed."
"November 30, 2021",Newsletter,The Quad and the Private Sector,https://www.csis.org/analysis/quad-and-private-sector,"Coordination, trust, and smart processes for connecting with the private sector will be crucial in ensuring the promise of Quad workstreams can be fulfilled."
"November 30, 2021",Transcript,Moving Pieces on the Chessboard: Strategy and Logistics in the Indo-Pacific,https://www.csis.org/analysis/moving-pieces-chessboard-strategy-and-logistics-indo-pacific,"For the 50th episode of the Asia Chessboard, Mike is joined by David Berteau to discuss the intersection of strategy and logistics in the Indo-Pacific."
"November 29, 2021",Newsletter,"The Evening: Omicron, Iran Talks, California Stars, and More",https://www.csis.org/analysis/evening-omicron-iran-talks-california-stars-and-more,"This edition of CSIS's nightly newsletter covers the Omicron, Iran Talks, California Stars, and More."
"November 29, 2021",Commentary,Properly Protecting U.S. Security,https://www.csis.org/analysis/properly-protecting-us-security,"The Scholl Chair comments on the future of semiconductor exports and manufacturing. How should the United States develop its approach to China, our biggest threat and best customer?"
"November 29, 2021",Report,China: The Civil-Military Challenge: Volume One of a Graphic Net Assessment,https://www.csis.org/analysis/china-civil-military-challenge-volume-one-graphic-net-assessment,"China's integration of its civil and military capabilities will shape its competition with the United States and other states, writes CSIS’s Emeritus Chair in Strategy."
