date,label,title,url
"Monday, April 4, 2022",Podcast Episode,How the Ukraine war is affecting oil and gas markets,https://www.brookings.edu/podcast-episode/how-the-ukraine-war-is-affecting-oil-and-gas-markets/
"Monday, April 4, 2022",TechTank,TechTank Podcast Episode 41: How to discourage extremism and harmful activities on social media platforms,https://www.brookings.edu/blog/techtank/2022/04/04/techtank-podcast-episode-41-how-to-discourage-extremism-and-harmful-activities-on-social-media-platforms/
"Monday, April 4, 2022",Upcoming Event,What comes after the IPCC’s sixth assessment report?,
"Monday, April 11, 2022",Regulatory Policy,Tracking regulatory changes in the Biden era,https://www.brookings.edu/interactives/tracking-regulatory-changes-in-the-biden-era/
"Monday, April 11, 2022",,"
					Nonresident Fellow - ",https://www.brookings.edu/program/brookings-metro/
"Thursday, April 7, 2022",Cities & Regions,Institutionalizing inclusive growth: Rewiring systems to rebuild local economies,https://www.brookings.edu/research/institutionalizing-inclusive-growth-rewiring-systems-to-rebuild-local-economies/
"Monday, April 11, 2022",Future Development,The global challenge of gender equality: Welcoming Caren Grown to Brookings,https://www.brookings.edu/blog/future-development/2022/04/11/the-global-challenge-of-gender-equality-welcoming-caren-grown-to-brookings/
"Monday, April 11, 2022",Order from Chaos,López Obrador’s flirtation with Russia risks worsening US-Mexican relations,https://www.brookings.edu/blog/order-from-chaos/2022/04/11/lopez-obradors-flirtation-with-russia-risks-worsening-us-mexican-relations/
"Monday, April 11, 2022",,"
					Senior Fellow - ",https://www.brookings.edu/program/economic-studies/
"Friday, April 8, 2022",Courts & Law,How to get ideology off the Supreme Court,https://www.barrons.com/articles/how-to-get-ideology-off-the-supreme-court-51649436966
"Tuesday, April 12, 2022",The Avenue,Pandemic-fueled suburban growth doesn’t mean we should abandon climate resiliency,https://www.brookings.edu/blog/the-avenue/2022/04/12/pandemic-fueled-suburban-growth-doesnt-mean-we-should-abandon-climate-resiliency/
"Wednesday, April 6, 2022",Post,Seizing the water infrastructure moment nationally and locally,https://www.brookings.edu/2022/04/06/seizing-the-water-infrastructure-moment-nationally-and-locally/
"Monday, April 4, 2022",Future Development,"Rural poverty, climate change, and family migration from Guatemala",https://www.brookings.edu/blog/future-development/2022/04/04/rural-poverty-climate-change-and-family-migration-from-guatemala/
"Monday, April 4, 2022",,"
					Nonresident Senior Fellow - ",https://www.brookings.edu/program/foreign-policy/
"Thursday, April 7, 2022",TechStream,A  holistic approach to strengthening the semiconductor supply chain,https://www.brookings.edu/techstream/a-holistic-approach-to-strengthening-the-semiconductor-supply-chain/
