date,category,title,Tag1,Tag2,url,description
"Sep 13, 2021",Research and Reports,Cyber defense across the ocean floor: The geopolitics of submarine cable security,Cybersecurity,Europe & Eurasia,https://www.atlanticcouncil.org/in-depth-research-reports/report/cyber-defense-across-the-ocean-floor-the-geopolitics-of-submarine-cable-security/,"The vast majority of intercontinental global Internet traffic—upwards of 95 percent—travels over undersea cables that run across the ocean floor. The construction of new submarine cables is a key part of the constantly changing physical topology of the Internet worldwide. However, this dependence is not matched by increased security, leaving our undersea cables—the core of the global internet—at risk."
"Sep 9, 2021",Commentary and Analysis,Afghanistan’s economy under the Taliban: the challenges ahead,Afghanistan,Economy & Business,https://www.atlanticcouncil.org/commentary/nasr-joins-sais-faculty-experts-and-affiliates-for-a-two-part-discussion-on-afghanistan-from-9-11-to-the-present-where-do-we-go-from-here/,"If their past is any indication of the future, the Taliban will find funds. But their ability to properly manage monetary policy remains to be seen. If they don’t, they’ll surely lose the economic war, and the people of Afghanistan along with it"
"Aug 31, 2021",Research and Reports,Extreme heat: The economic and social consequences for the United States,Climate Change & Climate Action,Resilience,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/addressing-instability-in-central-america-restrictions-on-civil-liberties-violence-and-climate-change/,A new report produced by the Atlantic Council’s Adrienne Arsht-Rockefeller Foundation Resilience Center with analysis conducted by Vivid Economics—quantifies the impacts of heat under current and future conditions.
"Aug 31, 2021",Research and Reports,"Trusted connectivity: A framework for a free, open, and connected world",China,Cybersecurity,https://www.atlanticcouncil.org/in-depth-research-reports/report/extreme-heat-the-economic-and-social-consequences-for-the-united-states/,"As democracies address the global demand for a free, open, and connected world while ensuring that local and global emissions targets are met, they need an organizing framework: the concept of “trusted connectivity.”"
"Sep 7, 2021",Commentary and Analysis,Extremist communications: The future is corporate,National Security,Security & Defense,https://www.atlanticcouncil.org/commentary/sakhi-joined-the-wilson-center-for-a-comprehensive-discussion-hindsight-up-front-implications-of-afghanistan-withdrawal-for-china-and-russia/,"Digital platforms have enabled white supremacists such as The Base to build out networks in North America, Europe, and Australia, and provide extremist groups with a low- to zero-cost means to disseminate their messages."
"Sep 7, 2021",Commentary and Analysis,Does treating Syria as a State Sponsor of Terrorism advance or hold back US national security interests?,Middle East,National Security,https://www.atlanticcouncil.org/insight-impact/in-the-news/nooruddin-joined-cnbc-tv18-to-discuss-and-provide-insights-on-the-taliban-introducing-their-new-government/,"In 1979, the United States designated Syria as a state sponsor of terrorism, putting it on its first-ever such list along with Libya, Iraq, and the former South Yemen."
"Sep 7, 2021",Commentary and Analysis,Combating domestic extremism means combating the insider threat in law enforcement,National Security,Nationalism,https://www.atlanticcouncil.org/blogs/afghanistans-economy-under-the-taliban-the-challenges-ahead/,"Dozens of law enforcement officers have been investigated or charged for their participation in events culminating in the January 6, 2021, insurrection at the US Capitol."
"Sep 7, 2021",Commentary and Analysis,Preparing for future concepts in terrorism: Non-kinetic acts and decentralization,National Security,Security & Defense,https://www.atlanticcouncil.org/insight-impact/chaudhary-joins-bbc-world-news-to-discuss-the-us-diplomacy-after-the-taliban-takeover-in-afghanistan/,"Twenty years ago, on September 11, 2001, the world saw a coordinated attack on the United States that struck us as “unimaginable” at the time."
"Sep 7, 2021",Commentary and Analysis,Facing the future of bioterrorism,Security & Defense,Terrorism,https://www.atlanticcouncil.org/commentary/article/extremist-communications-the-future-is-corporate/,"Biotechnology has developed at an astounding rate over the first twenty years of the twenty-first century. Emerging biotechnological tools have become cheaper and more accessible than ever before, and less expertise is necessary to use those tools effectively."
"Sep 7, 2021",Commentary and Analysis,OPINION: We are all responsible for 6/5,Security & Defense,Terrorism,https://www.atlanticcouncil.org/commentary/article/does-treating-syria-as-a-state-sponsor-of-terrorism-advance-or-hold-back-us-national-security-interests/,"If there is any hope of preventing another 6/5, and defusing the smoldering rebellion behind it, we must first admit that we are all to blame."
"Sep 7, 2021",Commentary and Analysis,The global war on terrorism wrecked relations with Iran,Iran,Middle East,https://www.atlanticcouncil.org/commentary/article/combating-domestic-extremism-means-combating-the-insider-threat-in-law-enforcement/,"The most fundamental strategic error of the George W. Bush administration following the September 11, 2001, attacks was launching a “Global War on Terrorism” that failed to distinguish properly between those responsible for the 9/11 attacks and other US adversaries."
"Sep 7, 2021",Commentary and Analysis,Counterterrorism and great-power competition,China,Middle East,https://www.atlanticcouncil.org/commentary/article/preparing-for-future-concepts-in-terrorism-non-kinetic-acts-and-decentralization/,"For nearly two decades after the attacks of September 11, 2001, counterterrorism was the United States’ top national security and foreign policy priority. That is no longer the case, as resources and policy maker bandwidth are increasingly shifting to challenges associated with peer and near-peer rivals such as China and Russia."
