date,label,title,url
"Thursday, November 4, 2021",Op-Ed,"Glasgow, Greta, and good intentions",https://www.brookings.edu/opinions/glasgow-greta-and-good-intentions/
"Thursday, November 4, 2021",Africa in Focus,Accelerating Africa’s green economy transition,https://www.brookings.edu/blog/africa-in-focus/2021/11/04/accelerating-africas-green-economy-transition/
"Thursday, November 4, 2021",TechStream,How to measure and regulate the attention costs of consumer technology,https://www.brookings.edu/techstream/how-to-measure-and-regulate-the-attention-costs-of-consumer-technology/
"Thursday, November 4, 2021",Transportation Industry,Comment on “Can America reduce highway construction costs? Evidence from the states”,https://www.nber.org/books-and-chapters/economic-analysis-and-infrastructure-investment/comment-can-america-reduce-highway-construction-costs-evidence-states-winston
"Thursday, November 4, 2021",Past Event,Stability and inclusivity of stablecoins: A conversation with Circle CEO Jeremy Allaire,
"Thursday, November 4, 2021",TechTank,Should Congress close the revolving door in the technology industry?,https://www.brookings.edu/blog/techtank/2021/11/04/should-congress-close-the-revolving-door-in-the-technology-industry/
"Thursday, November 4, 2021",Order from Chaos,To expand the Navy isn’t enough. We need a bigger commercial fleet.,https://www.brookings.edu/blog/order-from-chaos/2021/11/04/to-expand-the-navy-isnt-enough-we-need-a-bigger-commercial-fleet/
"Thursday, November 4, 2021",Past Event,What is a strategy of denial and does it make sense for America?,
"Monday, November 8, 2021",Testimony,Race and Jobs at Risk of Being Automated in the Age of COVID-19,https://www.brookings.edu/testimonies/race-and-jobs-at-risk-of-being-automated-in-the-age-of-covid-19/
"Monday, November 8, 2021",Testimony,How Fintech Companies Can Mitigate the Racial Wealth Gap,https://www.brookings.edu/testimonies/how-fintech-companies-can-mitigate-the-racial-wealth-gap/
"Friday, November 5, 2021",Up Front,"Class Notes: Verbal and math skills’ roles in college attainment, mandatory waiting periods for abortions, and more",https://www.brookings.edu/blog/up-front/2021/11/05/class-notes-role-of-math-and-verbal-skills-in-college-attainment-mandatory-waiting-periods-for-abortions-and-more/
"Friday, November 5, 2021",,"
					Senior Fellow - ",https://www.brookings.edu/program/global-economy-and-development/
"Monday, November 8, 2021",Future Development,Government assistance when household energy bills are high: Lessons from Ukraine,https://www.brookings.edu/blog/future-development/2021/11/08/government-assistance-when-household-energy-bills-are-high-lessons-from-ukraine/
"Monday, November 8, 2021",Education Plus Development,Adapting education innovations and their ‘knock-on effects’ in the time of COVID,https://www.brookings.edu/blog/education-plus-development/2021/11/08/adapting-education-innovations-and-their-knock-on-effects-in-the-time-of-covid/
