date,Type,title,url,description
"February 17, 2022",Congressional Testimony,Call to Action: Private Sector Investment in the Northern Triangle and Its Impact on Homeland Security,https://www.csis.org/analysis/call-action-private-sector-investment-northern-triangle-and-its-impact-homeland-security,"Daniel F. Runde, senior vice president; William A. Schreyer Chair; and director, Americas Program, testified before the House Homeland Security Subcommittee on Oversight, Management, and Accountability on the topic of ""Private Sector Investment in the Northern Triangle and..."
"February 17, 2022",Congressional Testimony,The Role of the International Monetary Fund in a Changing Global Landscape,https://www.csis.org/analysis/role-international-monetary-fund-changing-global-landscape,"Stephanie Segal, non-resident senior associate, Economics Program, testified before the House Financial Services Subcommittee on National Security, International Development and Monetary Policy on the topic of ""The Role of the International Monetary Fund in a Changing Global..."
"February 17, 2022",Congressional Testimony,The Evolution of Domestic Terrorism,https://www.csis.org/analysis/evolution-domestic-terrorism,"Seth Jones, senior vice president; Harold Brown Chair; director, International Security Program; and director; Transnational Threats Project, testifies before the House Judiciary Subcommittee on Crime, Terrorism, and Homeland Security on the topic of ""The Rise in Violence..."
"February 16, 2022",Newsletter,"The Evening: No Sign of Russian Pullback, Covid Next Phase, Set Them Free, and More",https://www.csis.org/analysis/evening-no-sign-russian-pullback-covid-next-phase-set-them-free-and-more,"This edition of CSIS's nightly newsletter covers No Sign of Russian Pullback, Covid Next Phase, Set Them Free, and More."
"February 16, 2022",Blog Post,Cybersecurity in the National Defense Authorization Act for Fiscal Year 2022 ,https://www.csis.org/blogs/strategic-technologies-blog/cybersecurity-national-defense-authorization-act-fiscal-year-2022,This blog post analyzes the cybersecurity amendments in the National Defense Authorization Act (NDAA) for Fiscal Year 2022.
"February 16, 2022",Report,NATO and the Ukraine: Reshaping NATO to Meet the Russian and Chinese Challenge,https://www.csis.org/analysis/nato-and-ukraine-reshaping-nato-meet-russian-and-chinese-challenge,"The Russian buildup on the border with Ukraine underscores the need for the U.S. and its NATO allies to take a far more serious look at how they are shaping the future defense of Europe, writes CSIS’s Emeritus Chair in Strategy."
"February 16, 2022",Report,"Digitalizing Laos: Improving Government Transparency, the Business Environment, and Human Capital",https://www.csis.org/analysis/digitalizing-laos-improving-government-transparency-business-environment-and-human-capital,"Digitalization—which has accelerated around Southeast Asia due to the pandemic—will offer Laos increased government transparency and bureaucracy, in turn improving Laos's long-encumbered education system and business environment."
"February 15, 2022",Commentary,Scenario Analysis on a Ukrainian Insurgency,https://www.csis.org/analysis/scenario-analysis-ukrainian-insurgency,"With Russia looking likely to invade Ukraine soon, Europe may soon have to decide whether to provide support for a Ukrainian insurgency. This commentary examines the challenges and benefits for NATO members of supporting an insurgency in Ukraine."
"February 15, 2022",Report,Fly Me to the Moon: Worldwide Cislunar and Lunar Missions,https://www.csis.org/analysis/fly-me-moon-worldwide-cislunar-and-lunar-missions,This CSIS report examines planned cislunar and lunar missions over the next decade from countries around the world and evaluates the trends and longevity of these missions.
"February 15, 2022",Blog Post,The United States Needs a Human Resources Strategy to Win the Global Innovation Competition,https://www.csis.org/blogs/perspectives-innovation/united-states-needs-human-resources-strategy-win-global-innovation,The United States needs to attract and retain the best minds from around the world if it is to succeed in the twenty-first century.
"February 15, 2022",Transcript,Rescuing Aid in Syria,https://www.csis.org/analysis/rescuing-aid-syria-0,"Jon Alterman speaks with Natasha Hall about her new report on aid in Syria, its findings, and why it matters."
"February 15, 2022",Report,Reeling in Abuse,https://www.csis.org/analysis/reeling-abuse,"UU fishing creates a market for seafood harvested or processed using forced labor. By leveraging existing transparency requirements and enhancing analysis and enforcement, the U.S. government can deter companies from utilizing forced labor in their seafood supply chains."
