date,category,title,Tag1,Tag2,url,description
"Sep 23, 2021",Research and Reports,The special role of US nuclear weapons,China,Defense Policy,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/the-special-role-of-us-nuclear-weapons/,"The United States needs to maintain a robust, flexible, and modernized nuclear deterrent. That means that United States needs to continue with nuclear modernization, reject a no first use (NFU) policy, and examine further nuclear capabilities."
"Sep 28, 2021",Commentary and Analysis,Transforming logistics,Economy & Business,Middle East,https://www.atlanticcouncil.org/content-series/empowerme-conversations/transforming-logistics/,"On episode 1 of season 2 of empowerME Conversations podcast, host and Atlantic Council empowerME Director Amjad Ahmad speaks with UPS President for Indian Subcontinent, Middle East, and Africa Jean-Francois Condamine about the e-commerce boom in the Middle East, promoting sustainability in the logistics industry, and empowering small and medium enterprises to become regional and global exporters."
"Sep 17, 2021",Research and Reports,Beyond the peninsula: Prospects for US-ROK regional cooperation in the Indo-Pacific,Digital Policy,East Asia,https://www.atlanticcouncil.org/in-depth-research-reports/report/beyond-the-peninsula-prospects-for-us-rok-regional-cooperation-in-the-indo-pacific/,"This report assesses the prospects of US-ROK regional cooperation in the Indo-Pacific under South Korea’s New Southern Policy (NSP) and US Indo-Pacific strategy, providing recommendations for policymakers in Washington and Seoul on enhancing US-ROK economic engagement outside of the Korean peninsula."
"Sep 16, 2021",Research and Reports,International corporate tax reform: Transatlantic cooperation after the OECD-deal,Economy & Business,European Union,https://www.atlanticcouncil.org/in-depth-research-reports/report/international-corporate-tax-reform/,"As the Biden administration targets tax avoidance, a joint Europe Center-German Council on Foreign Relations report argues the Biden administration will have to rely especially on its partners across the Atlantic to close loopholes and ensure an effective framework on global taxation."
"Sep 15, 2021",Research and Reports,Upgrading US public diplomacy: A new approach for the age of memes and disinformation,Civil Society,Internet,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/upgrading-us-public-diplomacy/,A group of current and former State Department officials offer a set of principles and actions the Biden administration can adopt to strengthen US outreach efforts to overseas publics.
"Sep 27, 2021",Commentary and Analysis,Inclusive growth needs financial inclusion. Can Central Bank Digital Currency help?,Digital Currencies,Economy & Business,https://www.atlanticcouncil.org/blogs/inclusive-growth-needs-financial-inclusion-can-central-bank-digital-currency-help/,"1.7 billion adults remained unbanked as per the 2017 wave of Findex dataset, with large disparities in financial inclusion still existing across countries, gender, income, education, and rural-urban lines. CBDCs have the potential to enhance financial inclusion and reduce these disparities."
"Sep 24, 2021",Commentary and Analysis,Evergrande’s debt distress: Withdrawal symptoms of China’s debt-fueled growth model,China,Economy & Business,https://www.atlanticcouncil.org/commentary/blog-post/evergrandes-debt-distress-withdrawal-symptoms-of-chinas-debt-fueled-growth-model/,"On September 24th China’s giant property developer Evergrande Group entered a 30-day grace period before being declared in default. Although they may not default, this slowdown highlights the key contradiction in China’s policy goals."
"Sep 22, 2021",Commentary and Analysis,Experts react: 2021 Shanghai Cooperation Organisation (SCO) summit in Tajikistan,Afghanistan,Central Asia,https://www.atlanticcouncil.org/commentary/nasr-joins-the-aspen-institute-the-us-and-the-middle-east-20-years-after-9-11/,"On September 17, the Shanghai Cooperation Organisation (SCO) held a heads-of-state summit in Dushanbe, Tajikistan, in a hybrid virtual and in-person setting. Consisting of China, India, Kazakhstan, Kyrgyzstan, Pakistan, Russia, Tajikistan, Uzbekistan, and most recently Iran, the SCO meeting primarily discussed the evolving situation in Afghanistan and its ramifications for member states as well as the international community more broadly."
"Sep 22, 2021",Commentary and Analysis,Experts react: The September 2021 White House QUAD meeting,Australia,Indo-Pacific,https://www.atlanticcouncil.org/blogs/southasiasource/experts-react-2021-shanghai-cooperation-organisation-sco-summit-in-tajikistan/,"US President Joe Biden is set to host a first in-person Quad meeting on September 24, 2021, with Australia, India, and Japan present. South Asia Center experts react to the meeting and offer insight into what to expect."
"Sep 21, 2021",Commentary and Analysis,A reinvigorated Quad is becoming a key element of the new US administration’s Asia policy—just not in the way you expected.,Indo-Pacific,Japan,https://www.atlanticcouncil.org/uncategorized/experts-react-the-september-2021-white-house-quad-meeting/,"A reinvigorated Quad is becoming a key element of the new US administration’s Asia policy. Its members—Australia, India, Japan, and the US—convened virtually in March at the leader level. Amid multiple global crises, they wisely opted to focus on concrete ways to deliver for their people and the region. The grouping sought to prove that democracy still works, as President Biden likes to say. The Quad Leaders’ communique set the bar high: cooperation on “the defining challenges of our time.”"
"Sep 20, 2021",Commentary and Analysis,Will a Taliban victory advance TAPI?,Central Asia,Energy & Environment,https://www.atlanticcouncil.org/blogs/southasiasource/a-reinvigorated-quad-is-becoming-a-key-element-of-the-new-us-administration/,"The Taliban’s ascent in Afghanistan has shaken up the prospects for a pipeline from Turkmenistan to India. Financial and reputational risks abound, and though a few possibilities remain, they possess serious limitations, calling the pipeline’s future into question."
"Sep 15, 2021",Commentary and Analysis,The implications of the Taliban’s new government for Afghanistan,Afghanistan,Human Rights,https://www.atlanticcouncil.org/blogs/energysource/will-a-taliban-victory-advance-tapi/,"The Atlantic Council’s South Asia Center, in partnership with Radio Free Europe/Radio Liberty, recorded a panel discussion on Tuesday, September 14 to discuss what the future holds for Afghanistan amid the Taliban’s new government and recent political developments in the country."
"Sep 15, 2021",Commentary and Analysis,State of the Order: Assessing August 2021,Afghanistan,Belarus,https://www.atlanticcouncil.org/commentary/nawaz-joins-dw-news-to-discuss-latest-development-in-afghanistan/,The State of the Order breaks down the month’s most important events impacting the democratic world order.
