date,label,title,url
"Wednesday, April 6, 2022",Race in American Public Policy,Overcoming racism to advance economic opportunity,https://www.brookings.edu/testimonies/overcoming-racism-to-advance-economic-opportunity/
"Wednesday, April 6, 2022",Past Event,Operationalizing responsible AI,
"Thursday, April 7, 2022",Report,Expanding the Infrastructure Talent Pipeline and Boosting Economic Opportunity,https://www.brookings.edu/research/expanding-the-infrastructure-talent-pipeline-and-boosting-economic-opportunity/
"Thursday, April 7, 2022",,April McWilliams,https://www.brookings.edu/about-us/brookings-leadership/april-mcwilliams/
"Wednesday, April 6, 2022",Africa in Focus,Quantifying frequent building collapse and disaster risk reduction in Nigeria,https://www.brookings.edu/blog/africa-in-focus/2022/04/06/quantifying-frequent-building-collapse-and-disaster-risk-reduction-in-nigeria/
"Wednesday, April 6, 2022",Report,"Effective engagement with Africa: Capitalizing on shifts in business, technology, and global partnerships",https://www.brookings.edu/research/effective-engagement-with-africa-capitalizing-on-shifts-in-business-technology-and-global-partnerships/
"Wednesday, April 6, 2022",,"
					David M. Rubenstein Fellow - ",https://www.brookings.edu/program/global-economy-and-development/
"Wednesday, April 6, 2022",Report,Protest matters: The effects of protests on economic redistribution,https://www.brookings.edu/research/protest-matters-the-effects-of-protests-on-economic-redistribution/
"Wednesday, April 6, 2022",Up Front,"Can protests lead to meaningful changes in government policy, particularly around economic redistribution?",https://www.brookings.edu/blog/up-front/2022/04/06/can-protests-lead-to-meaningful-changes-in-government-policy-particularly-around-economic-redistribution/
"Wednesday, April 6, 2022",Future Development,How public health policies protected women-owned businesses during the pandemic,https://www.brookings.edu/blog/future-development/2022/04/06/how-public-health-policies-protected-women-owned-businesses-during-the-pandemic/
"Wednesday, April 6, 2022",FixGov,The American people’s message to President Biden about Ukraine—get tougher but don’t risk war with Russia (follow-up),https://www.brookings.edu/blog/fixgov/2022/04/06/the-american-peoples-message-to-president-biden-about-ukraine-get-tougher-but-dont-risk-war-with-russia-follow-up/
"Wednesday, April 6, 2022",,"
					Visiting Fellow - ",https://www.brookings.edu/program/brookings-metro/
"Thursday, April 7, 2022",Post,Introducing the Transforming Cities Lab: How three local governments are making federal funds work for the long-term,https://www.brookings.edu/2022/04/07/introducing-the-transforming-cities-lab-how-three-local-governments-are-making-federal-funds-work-for-the-long-term/
"Thursday, April 7, 2022",Past Event,"Crimes against humanity, genocide, and ecocide: Of rights, responsibilities, and international order",
