Type,title,url,description
article,ASPI Note: Understanding the December 6 India-Russia Summit,https://asiasociety.org/policy-institute/aspi-note-understanding-december-6-india-russia-summit,What to know about the meeting between Indian Prime Minister Narendra Modi and Russian President Vladimir Putin at the 21st annual India-Russia summit.
article,Trade Coercion Presents a Growing Threat to the Global Economy,https://asiasociety.org/policy-institute/trade-coercion-presents-growing-threat-global-economy,Wendy Cutler and Jeffrey Wilson write in Nikkei Asia about the dangers coercive trade practices present to the global trading system.
report,Stacking the Deck: China’s Influence in International Technology Standards Setting,https://asiasociety.org/policy-institute/stacking-deck-chinas-influence-international-technology-standards-setting,Asia Society Policy Institute (ASPI) Vice President Danny Russel and Assistant Director Blake Berger examine China’s influence in digital rule-setting and the implications for global technology competition.
report,Responding to Trade Coercion: A Growing Threat to the Global Trading System,https://asiasociety.org/policy-institute/responding-trade-coercion-growing-threat-global-trading-system-0,The Asia Society Policy Institute and the Perth USAsia Centre published a joint report on trade coercion offering ten policy options for governments to consider.
article,ASPI Note: Understanding the U.S.-China Climate Declaration,https://asiasociety.org/policy-institute/aspi-note-understanding-us-china-climate-declaration,What to know about the U.S.-China joint statement from COP26 on climate cooperation.
article,ASPI Note: Understanding the Biden-Xi Summit,https://asiasociety.org/policy-institute/aspi-note-understanding-biden-xi-summit,What to know about Monday night's meeting between the Chinese and American leaders.
article,ASPI Note: Understanding China's Sixth Plenum,https://asiasociety.org/policy-institute/aspi-note-understanding-chinas-sixth-plenum,What to know about the Chinese Communist Party's recent plenary event.
,China and the U.S. Agree To 'Enhance Ambition' on Climate. Here's What This Means,https://asiasociety.org/policy-institute/china-and-us-agree-enhance-ambition-climate-heres-what-means,"ASPI's Thom Woodroofe writes that while the agreement isn't a ""game changer,"" it still represents a step forward given the state of the U.S.-China relationship."
podcast,China’s Prospects for Joining the CPTPP,https://asiasociety.org/policy-institute/chinas-prospects-joining-cptpp,Wendy Cutler and Bonnie Glaser on the China Global podcast. 
podcast,Is the Future Regional?,https://asiasociety.org/policy-institute/future-regional,"Wendy Cutler with Rem Korteweg, Martin Sandbu, and James Crabtree on the AIG Global Trade Series podcast."
article,A Trade Pact Faces a Crucial Test as China and Taiwan Try to Join,https://asiasociety.org/policy-institute/trade-pact-faces-crucial-test-china-and-taiwan-try-join,Wendy Cutler writes in Barron's about China and Taiwan's intentions to join the Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP).
speech,Understanding Evergrande,https://asiasociety.org/policy-institute/understanding-evergrande,"Kevin Rudd's remarks on the implications of Evergrande for the Chinese and global economies, Xi Jinping’s political economy, and systemic financial risk."
interview,"Wendy Cutler on China, Taiwan, and the CPTPP",https://asiasociety.org/policy-institute/wendy-cutler-china-taiwan-and-cptpp,Wendy Cutler speaks with The Diplomat about next steps and broader implications of China and Taiwan's bids to join the Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP).
article,China Wants to Join the Trade Pact Once Designed to Counter It,https://asiasociety.org/policy-institute/china-wants-join-trade-pact-once-designed-counter-it,Wendy Cutler writes in Foreign Policy about China's bid to join the Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP).
article,America Must Return to the Trans-Pacific Partnership,https://asiasociety.org/policy-institute/america-must-return-trans-pacific-partnership,Wendy Cutler writes in Foreign Affairs about the need for the Biden Administration to re-engage with the Trans-Pacific Partnership.
speech,Xi Jinping's Pivot to the State,https://asiasociety.org/policy-institute/xi-jinpings-pivot-state,"Kevin Rudd's remarks on the impact of ideology, demography, and decoupling on China’s new economic policy framework"
