category,date,title,url
Hearings,10/26/2021,"Hearing on ""Caring for America: Legislation to Support Patients, Caregivers, and Providers""",https://energycommerce.house.gov/committee-activity/hearings/hearing-on-caring-for-america-legislation-to-support-patients-caregivers
Hearings,10/27/2021,"Hearing on ""TSCA and Public Health: Fulfilling the Promise of the Lautenberg Act""",https://energycommerce.house.gov/committee-activity/hearings/hearing-on-tsca-and-public-health-fulfilling-the-promise-of-the
Hearings,10/21/2021,"Hearing on ""Offshore Wind, Onshore Benefits: Growing the Domestic Wind Energy Industry""",https://energycommerce.house.gov/committee-activity/hearings/hearing-on-offshore-wind-onshore-benefits-growing-the-domestic-wind
Hearings,10/20/2021,"Hearing on ""Enhancing Public Health: Legislation to Protect Children and Families""",https://energycommerce.house.gov/committee-activity/hearings/hearing-on-enhancing-public-health-legislation-to-protect-children-and
Press Release,"Oct 21, 2021",Pallone Opening Remarks at Energy Hearing on Offshore Wind,https://energycommerce.house.gov/newsroom/press-releases/pallone-opening-remarks-at-energy-hearing-on-offshore-wind
Press Release,"Oct 20, 2021",Pallone and Doyle on House Passage of Four Bipartisan Bills to Strengthen Nation’s Telecommunications Infrastructure,https://energycommerce.house.gov/newsroom/press-releases/pallone-and-doyle-on-house-passage-of-four-bipartisan-bills-to-strengthen
Press Release,"Oct 20, 2021",E&C Announces Environmental Hearing on Fulfilling the Promise of TSCA Reform,https://energycommerce.house.gov/newsroom/press-releases/ec-announces-environmental-hearing-on-fulfilling-the-promise-of-tsca-reform
Press Release,"Oct 20, 2021",Pallone & Murray Voice Support for Biden Administration’s Surprise Billing Implementation Rule,https://energycommerce.house.gov/newsroom/press-releases/pallone-murray-voice-support-for-biden-administration-s-surprise-billing
Press Release,"Oct 20, 2021",Pallone Opening Remarks at Legislative Hearing on Public Health Legislation,https://energycommerce.house.gov/newsroom/press-releases/pallone-opening-remarks-at-legislative-hearing-on-public-health-legislation
Press Release,"Oct 20, 2021",Pallone and Eshoo Praise House Passage of Four Public Health Bills,https://energycommerce.house.gov/newsroom/press-releases/pallone-and-eshoo-praise-house-passage-of-four-public-health-bills
Press Release,"Oct 19, 2021",Pallone and Neal on CBO Analysis of the Build Back Better Act’s Expansion of Health Care Coverage,https://energycommerce.house.gov/newsroom/press-releases/pallone-and-neal-on-cbo-analysis-of-the-build-back-better-act-s-expansion-of
Press Release,"Oct 19, 2021","	E&C Announces Health Hearing on Legislation to Support Patients, Caregivers, and Providers",https://energycommerce.house.gov/newsroom/press-releases/ec-announces-health-hearing-on-legislation-to-support-patients-caregivers
