category,date,title,url
Minority Hearings,"December 2, 2021",The Evolving Cybersecurity Landscape: Federal Perspectives on Securing the Nation's Infrastructure,https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405716
Minority Press Releases,"November 22, 2021",T&I Republican Leaders Call on Biden to Halt Regulatory Actions to Kill Infrastructure Projects,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405718
Minority Press Releases,"November 19, 2021",Graves Statement on House Passage of Speaker Pelosi’s Budget Reconciliation Spending Spree,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405680
Minority Press Releases,"November 17, 2021",Graves Statement from Hearing on Supply Chain Crisis: Administration’s Policies Should Do No More Harm,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405679
Majority Hearings,Dec 02 2021,,https://transportation.house.gov/committee-activity/hearings/the-evolving-cybersecurity-landscape-federal-perspectives-on-securing-the-nations-infrastructure
Majority Hearings,Nov 17 2021,,https://transportation.house.gov/committee-activity/hearings/industry-and-labor-perspectives-a-further-look-at-north-american-supply-chain-challenges
Minority Hearings,"November 17, 2021",Industry and Labor Perspectives: A Further Look at North American Supply Chain Challenges,https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405675
Majority Press Releases,"November 19, 2021",Committee Leaders Urge FCC to Act to Protect Aviation Safety Amid 5G Broadband Implementation,https://transportation.house.gov/news/press-releases/committee-leaders-urge-fcc-to-act-to-protect-aviation-safety-amid-5g-broadband-implementation
Majority Press Releases,"November 19, 2021",Transportation and Infrastructure Committee Leaders Request OIG Review of FAA’s Boeing 787 Oversight,https://transportation.house.gov/news/press-releases/transportation-and-infrastructure-committee-leaders-request-oig-review-of-faas-boeing-787-oversight
Majority Press Releases,"November 19, 2021",Chair DeFazio Statement on House Passage of the Build Back Better Act,https://transportation.house.gov/news/press-releases/chair-defazio-statement-on-house-passage-of-the-build-back-better-act
Majority Press Releases,"November 17, 2021",Chair DeFazio Statement from Hearing to Examine North American Supply Chain Challenges,https://transportation.house.gov/news/press-releases/chair-defazio-statement-from-hearing-to-examine-north-american-supply-chain-challenges
