category,date,title,url,description
Press Releases,04.05.2022,Rodgers and Guthrie Statement on the Medical Marijuana Research Act,https://republicans-energycommerce.house.gov/news/rodgers-and-guthrie-statement-on-the-medical-marijuana-research-act/,"Energy and Commerce Republican Leader Cathy McMorris Rodgers (R-WA) and Health Subcommittee Republican Leader Brett Guthrie (R-KY) released the following statement about the H.R. 5657, the Medical Marijuana Research Act, led by Rep. Earl Blumenauer (D-OR), Rep. Andy Harris (R-MD) and Rep. Morgan Griffith (R-VA). H.R 5657 passed the House with bipartisan support. "
Press Releases,04.04.2022,H.R. McMaster to Testify at Hearing on Biden’s Price Hike and America’s Pain at the Pump,https://republicans-energycommerce.house.gov/news/h-r-mcmaster-to-testify-at-hearing-on-bidens-price-hike-and-americas-pain-at-the-pump/,"Washington, D.C. — House Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA) announced today that Lieutenant General H.R. McMaster, USA, Ret., who served as National Security Adviser, will be the Republican witness at the Energy and Commerce Oversight and Investigations Subcommittee hearing with six energy CEOs. McMaster will provide his expertise on how President Biden’s anti-American energy agenda has made gas prices skyrocket and our nation less secure. He will share why we must reverse Democratic policies such as shutting down domestic energy..."
Press Releases,04.01.2022,Leader Rodgers Calls on NHTSA to Ease the Burden of Inflation and Supply Chain Issues for Americans,https://republicans-energycommerce.house.gov/news/press-release/leader-rodgers-calls-on-nhtsa-to-ease-the-burden-of-inflation-and-supply-chain-issues-for-americans/,"Washington, D.C. — Following announcements this week from the National Highway Traffic Safety Administration regarding new vehicle fuel economy standards and penalties on automakers, House Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA) urged the Administration to ease the burden for millions of Americans that has been brought on by high inflation and the supply chain crisis. "
Press Releases,03.31.2022,Rodgers and Westerman: Biden’s Critical Minerals Announcement Misses Bigger Picture,https://republicans-energycommerce.house.gov/news/rodgers-and-westerman-bidens-critical-minerals-announcement-misses-bigger-picture/,"Washington, D.C. — Today, President Joe Biden announced he is invoking Defense Protection Act powers in order to ramp up domestic production of critical minerals."
Press Releases,03.31.2022,Leader Rodgers: SPR Release Will Not Alleviate the Pain at the Pump. We Must Flip the Switch ON American Energy.,https://republicans-energycommerce.house.gov/news/leader-rodgers-spr-release-will-not-alleviate-the-pain-at-the-pump-we-must-flip-the-switch-on-american-energy/,"Washington, D.C. — House Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA) released the following statement on President Biden’s expected announcement to release oil from the Strategic Petroleum Reserve (SPR)."
Press Releases,03.31.2022,Latta: “Let’s work together to ensure all Americans have access to reliable broadband services”,https://republicans-energycommerce.house.gov/news/press-release/latta-lets-work-together-to-ensure-all-americans-have-access-to-reliable-broadband-services/,"Washington, D.C. — Communications and Technology Subcommittee Republican Leader Bob Latta (R-OH) delivered remarks during today’s FCC oversight hearing on the importance of congressional oversight to help Americans stay connected. "
Press Releases,03.30.2022,Leader Rodgers: This is an Attempt by Democrats to Revive Socialist Drug Pricing,https://republicans-energycommerce.house.gov/news/leader-rodgers-this-is-an-attempt-by-democrats-to-revive-socialist-drug-pricing/,"Washington, D.C. — Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA) spoke before the Rules Committee during a hearing on H.R. 6833, an attempt by Democrats to revive socialist drug pricing in the tax and spending spree and give Pharmacy Benefit Managers (PBMs) a pass to keep hiding savings from patients."
Press Releases,03.30.2022,Leader Rodgers Health Subcommittee Remarks on FDA User Fee Reauthorization for Medical Devices,https://republicans-energycommerce.house.gov/news/leader-rodgers-health-subcommittee-remarks-on-fda-user-fee-reauthorization-for-medical-devices/,"Washington, D.C. — House Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA) delivered remarks at today’s Health Subcommittee hearing entitled “FDA User Fee Reauthorization: Ensuring Safe and Effective Medical Devices.” "
Hearings,"April 06, 2022",President Biden’s Price Hike and America’s Pain at the Pump,https://republicans-energycommerce.house.gov/hearings/president-bidens-price-hike-and-americas-pain-at-the-pump/,https://youtu.be/dNxZpB5x-6w
Hearings,"April 05, 2022",Communities in Need: Legislation to Support Mental Health and Well-Being,https://republicans-energycommerce.house.gov/hearings/communities-in-need-legislation-to-support-mental-health-and-well-being/,https://youtu.be/AUhPIUHqsKw
Hearings,"March 31, 2022",Connecting America: Oversight of the FCC,https://republicans-energycommerce.house.gov/hearings/connecting-america-oversight-of-the-fcc/,https://youtu.be/RxP604SeuLY
Hearings,"March 30, 2022",FDA User Fee Reauthorization: Ensuring Safe and Effective Medical Devices,https://republicans-energycommerce.house.gov/hearings/fda-user-fee-reauthorization-ensuring-safe-and-effective-medical-devices/,https://youtu.be/vZCp3dgrPfQ
